duration,depth,scramble,is_solved,solve_steps,solution
74.655537,8,9 11 2 3 0 11 3 11,1,11745,
1.425805,8,8 1 6 2 6 6 11 9,1,623,
145.851448,8,10 10 8 5 6 4 9 9,0,30001,
0.007827,8,1 3 3 2 2 6 4 3,1,11,
50.286056,8,8 9 4 8 3 10 6 3,1,7516,
1.099816,8,1 11 0 3 8 0 5 7,1,660,
0.004476,8,4 0 4 9 1 0 0 0,1,6,
85.53584,8,9 5 9 4 8 8 9 4,1,25485,
108.518469,9,10 9 8 7 5 3 6 9 9,0,30001,
185.58959,9,4 9 0 10 8 7 7 4 1,0,30001,
1.757101,9,9 8 0 8 7 7 6 7 6,1,817,
12.255014,9,3 8 4 3 4 8 8 6 6,1,4745,
7.837674,9,5 3 5 4 5 10 6 2 1,1,2944,
112.800503,9,5 9 6 9 7 10 8 1 11,0,30001,
3.741576,9,1 9 6 7 9 9 8 8 11,1,2081,
0.493568,9,3 0 5 3 3 8 6 6 6,1,353,
188.439446,9,5 3 5 7 4 0 1 10 5,0,30001,
32.136371,9,0 5 9 1 10 5 4 1 0,1,6782,
138.874179,9,5 6 7 11 7 3 0 8 4,0,30001,
40.97397,9,9 2 5 3 3 7 4 0 2,1,12255,
12.503432,9,5 7 0 0 10 7 3 5 3,1,3470,
4.646783,9,6 8 9 5 1 5 2 10 9,1,1996,
52.248564,9,7 6 3 10 0 5 7 10 10,1,8256,
84.377617,9,5 1 4 11 7 9 6 7 10,1,19657,
5.999825,9,8 7 4 3 4 8 6 1 8,1,1980,
3.174398,9,11 6 5 10 11 3 1 10 7,1,1094,
0.717321,9,2 9 8 8 11 6 8 7 0,1,407,
0.008798,9,3 5 10 7 5 10 1 4 9,1,12,
178.551528,10,7 10 8 6 2 11 4 1 2 11,0,30001,
28.850528,10,7 6 9 10 11 4 2 3 6 1,1,8223,
197.892964,10,5 5 3 7 6 9 8 0 8 4,1,26067,
66.033674,10,6 1 9 1 8 9 11 3 2 1,1,15446,
69.320602,10,7 10 7 4 4 8 9 7 2 11,1,13982,
102.708089,10,1 2 11 3 4 4 6 8 7 7,0,30001,
1.565028,10,2 0 7 0 7 9 0 0 3 1,1,702,
8.304844,10,11 6 9 1 2 3 10 2 1 11,1,2609,
52.726051,10,8 1 1 9 10 3 2 6 7 3,1,22459,
33.799456,10,8 9 9 7 4 9 2 0 10 1,1,9816,
0.319566,10,9 2 3 6 1 6 6 5 1 0,1,206,
1.682605,10,1 2 4 4 6 6 11 10 3 2,1,814,
145.734261,10,7 11 9 7 7 10 10 9 1 2,0,30001,
151.09716,10,11 8 6 6 3 2 6 5 9 0,0,30001,
110.315261,10,8 8 8 11 11 3 10 2 7 5,0,30001,
113.198104,10,6 3 0 7 7 2 10 2 4 7,0,30001,
14.56771,10,5 2 2 5 3 4 3 2 11 2,1,4807,
115.873047,10,11 0 3 11 7 6 5 3 2 3,0,30001,
11.19103,10,2 4 11 1 2 3 10 6 10 11,1,3588,
147.968527,10,5 4 2 10 8 8 9 7 5 4,0,30001,
5.526182,11,9 11 2 2 10 10 8 1 5 9 0,1,2907,
26.52832,11,11 9 11 6 1 9 2 11 7 5 8,1,6906,
141.021338,11,7 6 10 8 8 11 4 2 10 1 8,0,30001,
10.401759,11,10 5 8 5 7 3 7 11 1 6 2,1,4808,
157.29506,11,10 3 3 10 3 6 8 10 9 1 0,0,30001,
0.005693,11,1 0 2 9 9 7 8 3 4 2 10,1,8,
11.535517,11,9 11 7 9 10 11 11 7 4 11 1,1,4703,
173.937133,11,10 9 6 4 11 4 6 6 1 2 4,0,30001,
101.350395,11,7 5 5 7 7 10 0 10 1 6 9,0,30001,
41.49649,11,10 9 10 10 5 3 5 2 11 6 6,1,12948,
15.485203,11,11 0 4 1 0 3 1 6 1 9 7,1,3240,
109.391232,11,11 11 1 3 8 1 0 2 0 2 5,0,30001,
104.229865,11,1 11 11 7 3 10 8 10 2 0 10,0,30001,
102.05349,11,4 1 4 4 8 11 1 8 8 6 11,1,27480,
0.392243,11,4 3 5 3 7 0 8 6 7 11 8,1,241,
107.204401,11,10 10 3 2 4 9 2 10 7 9 0,0,30001,
13.165091,11,11 7 3 8 0 7 8 0 11 4 7,1,3867,
282.356428,11,5 9 5 10 11 10 3 2 10 8 6,0,30001,
184.371343,11,1 6 3 4 6 9 7 2 1 6 8,0,30001,
0.4078,11,3 8 0 9 6 2 2 2 6 3 3,1,247,
97.90553,12,8 0 3 11 7 9 1 8 6 11 9 0,0,30001,
142.881162,12,0 2 3 1 8 7 6 6 10 6 4 9,0,30001,
0.005094,12,9 2 4 11 6 1 2 6 1 2 9 10,1,7,
254.428439,12,4 6 10 11 2 9 11 2 7 8 11 4,0,30001,
1.565022,12,7 3 0 1 6 6 3 10 9 10 11 7,1,675,
84.59718,12,3 1 11 7 4 8 10 0 3 7 4 2,0,30001,
