duration,depth,scramble,is_solved,solve_steps,solution
0.002823,1,10,1,0,
0.00057,1,1,1,0,
0.000524,1,0,1,0,
0.000669,1,11,1,0,
0.000501,1,4,1,0,
0.000587,1,3,1,0,
0.000577,1,3,1,0,
0.000499,1,2,1,0,
0.000541,1,11,1,0,
0.000591,1,1,1,0,
0.000579,1,10,1,0,
0.000502,1,11,1,0,
0.0005,1,8,1,0,
0.0005,1,1,1,0,
0.000806,1,9,1,0,
0.000513,1,6,1,0,
0.000501,1,0,1,0,
0.000507,1,0,1,0,
0.000698,1,1,1,0,
0.00052,1,3,1,0,
0.001436,2,3 8,1,1,
0.001599,2,0 8,1,2,
0.002168,2,11 10,1,2,
0.001569,2,8 6,1,2,
0.001837,2,7 9,1,2,
0.001919,2,0 2,1,2,
0.001756,2,6 5,1,2,
0.001721,2,2 3,1,2,
0.001661,2,1 1,1,2,
0.001621,2,1 5,1,2,
0.001847,2,9 4,1,2,
0.001738,2,11 7,1,2,
0.001697,2,1 6,1,2,
0.001042,2,8 4,1,1,
0.001737,2,9 5,1,2,
0.001685,2,3 11,1,2,
0.001592,2,0 10,1,2,
0.001623,2,4 1,1,2,
0.00188,2,1 6,1,2,
0.001574,2,7 10,1,2,
0.004344,3,2 5 5,1,6,
0.004009,3,11 10 10,1,6,
0.003966,3,2 11 3,1,6,
0.004748,3,4 11 8,1,7,
0.002921,3,0 3 0,1,4,
0.002318,3,4 1 3,1,3,
0.002932,3,5 3 10,1,4,
0.022981,3,10 7 2,1,29,
0.000547,3,7 0 1,1,0,
0.002864,3,2 10 2,1,4,
0.003469,3,9 1 6,1,5,
0.0303,3,7 8 4,1,36,
0.002788,3,8 8 1,1,4,
0.002095,3,10 8 9,1,3,
0.002838,3,5 2 0,1,4,
0.000516,3,7 0 1,1,0,
0.002805,3,5 4 3,1,4,
0.002298,3,9 1 1,1,3,
0.022179,3,1 8 10,1,31,
0.004617,3,10 10 5,1,7,
0.007191,4,1 3 3 1,1,11,
0.005998,4,9 0 1 11,1,9,
0.166402,4,0 5 1 8,1,147,
0.004665,4,11 8 10 11,1,7,
0.639774,4,4 3 0 9,1,381,
1.375761,4,5 0 1 4,1,876,
0.032942,4,2 4 0 0,1,41,
0.005215,4,1 9 10 10,1,8,
0.004556,4,4 1 3 1,1,7,
0.005122,4,9 9 8 6,1,8,
0.0199,4,6 4 9 9,1,27,
0.001075,4,1 2 0 7,1,1,
0.034272,4,9 7 4 0,1,44,
0.004683,4,4 2 1 0,1,7,
