duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean
0.008703,6,4 7 7 7 8 4,1,16,4,4,5,3.639830508
0.113012,6,10 1 6 9 8 11,1,153,26,6,9,6.704587156
0.1422,6,10 2 1 11 7 5,1,187,40,8,11,7.097096621
164.020106,6,2 3 4 4 7 3,1,51074,6,6,25,14.7219611
1.27127,6,3 5 9 10 10 6,1,753,106,8,17,9.828354186
0.010459,6,10 8 3 0 3 8,1,17,4,4,4,3.147286822
0.009056,6,7 7 6 9 2 11,1,19,4,4,4,2.982978723
0.005206,6,1 9 7 0 9 5,1,11,4,4,4,2.875
0.311411,6,4 0 9 1 4 3,1,378,48,8,11,7.407297957
10.188804,6,0 10 2 4 4 6,1,5049,172,6,20,12.91585855
0.066177,7,6 3 3 7 0 9 5,1,89,5,5,9,5.630157539
2.890743,7,6 7 11 7 4 3 6,1,1919,11,7,16,9.756644631
0.226142,7,1 1 1 11 6 2 11,1,173,41,7,10,6.274392169
0.081832,7,11 1 9 2 10 11 10,1,109,47,7,8,5.976229961
0.003617,7,0 11 6 7 7 7 9,1,7,3,3,3,2.4125
0.002373,7,6 7 7 8 1 0 7,1,5,3,3,3,2.230769231
4.886955,7,11 2 4 0 8 9 10,1,2704,25,7,17,10.63816321
0.020484,7,8 10 10 8 9 2 5,1,27,5,5,5,3.638157895
0.186069,7,7 0 3 7 7 3 1,1,218,11,5,11,7.069227914
0.011252,7,4 8 3 2 4 11 0,1,21,5,5,5,3.751497006
0.167037,7,1 6 6 11 9 4 8,1,194,23,9,10,7.642184071
9.303111,7,8 11 11 1 5 5 5,1,6243,95,5,18,11.20143797
2.908179,7,6 4 2 5 4 9 7,1,1673,23,11,18,10.99268942
0.562773,7,2 11 6 9 2 3 3,1,337,67,5,12,8.156170845
1.361814,7,6 11 2 1 8 0 11,1,1200,71,9,14,9.307698812
0.220589,7,2 11 9 7 6 7 6,1,312,31,9,12,8.366445007
9.988327,7,11 7 7 10 7 2 1,1,4112,135,9,21,11.94284504
15.552955,7,1 2 3 11 11 10 1,1,10445,65,11,21,12.89709881
0.046919,7,8 3 11 10 9 8 6,1,27,5,5,5,4.004514673
0.53844,7,8 6 3 0 3 8 1,1,371,51,11,13,8.798702581
2.415009,8,4 11 11 4 4 7 2 7,1,2243,6,6,19,9.683518838
0.625143,8,1 4 11 10 10 2 9 8,1,484,114,10,13,8.845091905
0.133293,8,7 6 10 0 2 1 8 0,1,127,22,6,9,5.443951165
0.01159,8,6 8 9 8 10 10 11 3,1,21,6,4,6,3.5951417
0.271768,8,4 6 10 9 0 3 3 8,1,172,90,6,10,6.565611861
0.097721,8,11 3 11 2 9 6 7 7,1,126,26,8,13,7.895426877
2.11554,8,6 7 10 10 10 11 4 9,1,1564,6,6,16,11.01432918
0.072841,8,1 1 6 8 5 1 5 2,1,71,66,10,11,7.964933495
0.124651,8,5 2 6 3 2 2 11 8,1,170,48,6,11,6.598220171
5.511198,8,3 0 10 10 11 8 1 8,1,4322,168,10,22,11.98963259
0.015881,8,7 8 10 9 6 1 4 11,1,9,4,4,4,2.717391304
0.213141,8,0 7 4 8 11 0 2 7,1,311,40,10,12,7.817239421
13.045347,8,9 6 9 6 7 2 7 8,1,9624,124,16,21,12.32476951
0.295656,8,8 11 10 5 7 7 8 11,1,297,16,6,12,6.976047904
27.322077,8,3 5 9 0 3 2 7 7,1,14691,162,14,25,14.29303068
0.073006,8,11 4 2 7 6 5 10 6,1,43,4,4,8,5.576659039
12.931051,8,1 1 4 1 0 11 6 4,1,6647,148,12,19,11.30962975
4.528837,8,7 8 0 3 10 8 8 1,1,3100,78,14,17,10.84162492
5.196135,8,0 3 1 0 5 9 10 11,1,2848,198,10,18,10.72696703
0.054947,8,11 9 7 7 0 4 5 10,1,70,30,8,9,6.113314448
0.087262,9,2 5 8 6 1 8 1 1 10,1,85,53,7,10,6.60801217
97.802798,9,9 5 2 9 11 10 7 4 8,1,46841,93,19,25,15.05553699
5.458711,9,10 8 8 9 10 10 2 1 1,1,3904,105,11,18,10.95045659
16.48485,9,11 8 11 1 4 9 4 4 1,1,9470,193,13,22,12.42410679
0.126805,9,5 10 8 11 10 10 3 10 8,1,91,23,5,9,5.560292326
1.678529,9,0 4 8 8 6 8 9 6 5,1,1432,41,11,16,9.896610939
1.712267,9,2 3 4 9 6 10 0 10 10,1,1117,41,9,15,10.15793777
1.792405,9,8 4 11 2 4 8 1 2 0,1,1017,63,7,15,10.14359825
115.70951,9,8 11 3 3 6 10 6 10 6,1,37598,299,17,23,14.0977614
0.936603,9,1 4 9 1 11 8 11 3 8,1,847,39,7,15,9.549844589
165.609312,9,6 4 7 4 6 8 1 2 2,1,38460,195,17,25,14.63606764
0.159042,9,2 5 1 1 10 10 5 5 0,1,31,23,5,6,4.862329803
4.037791,9,0 1 4 1 8 11 11 11 8,1,2306,71,11,18,11.63657415
11.219145,9,6 5 2 11 6 7 8 11 1,1,5594,45,9,19,11.27174376
14.244454,9,6 8 0 2 4 2 4 2 0,1,6079,135,9,17,11.93139614
28.077198,9,0 11 6 8 4 5 7 7 0,1,17270,63,17,22,12.62334664
27.539193,9,11 0 7 8 10 3 2 0 10,1,8624,117,15,20,12.05065308
2.746162,9,7 4 8 5 6 3 6 6 10,1,2344,73,11,17,9.646983023
134.113441,9,10 9 0 2 5 8 5 7 2,1,43835,371,17,24,15.02665839
