duration,depth,scramble,is_solved,solve_steps,solution
6.541888,8,3 4 11 11 3 2 5 1,1,3776,
0.953372,8,1 4 9 8 7 11 4 2,1,611,
0.076467,8,0 7 8 4 11 10 8 4,1,83,
0.185759,8,11 0 8 3 0 3 11 4,1,162,
87.59943,8,4 2 0 3 3 10 8 7,1,15535,
1.04339,8,3 5 8 11 8 0 5 8,1,385,
4.447906,8,8 9 10 7 3 10 0 3,1,2638,
0.179071,8,10 0 4 0 4 4 1 6,1,141,
98.770871,9,7 3 10 0 1 9 11 9 5,0,30001,
2.538656,9,3 2 1 3 11 0 1 9 8,1,1311,
10.335435,9,9 1 6 7 6 9 4 1 11,1,4758,
2.873368,9,9 10 7 3 10 11 3 11 10,1,1148,
1.646381,9,10 5 10 2 0 8 3 5 0,1,855,
1.660046,9,0 0 9 1 8 11 0 7 3,1,606,
0.369448,9,3 10 3 4 4 11 1 9 0,1,199,
0.424705,9,3 4 5 5 1 6 3 8 8,1,261,
14.828958,9,8 10 11 3 0 3 3 5 0,1,3820,
0.003596,9,2 11 6 1 2 5 9 2 7,1,5,
0.657998,9,6 4 0 2 7 8 11 3 0,1,222,
0.44937,9,3 3 1 4 2 1 10 11 4,1,398,
29.383443,9,10 5 4 9 10 1 11 7 8,1,11384,
27.396986,9,10 6 7 4 7 0 10 2 3,1,12611,
0.004286,9,10 8 8 4 5 7 7 10 10,1,6,
0.249664,9,10 9 7 5 10 9 9 8 9,1,174,
22.322987,9,8 3 2 5 5 1 2 1 3,1,7806,
2.573947,9,4 9 9 0 3 3 2 11 11,1,951,
7.979757,9,9 9 0 3 0 3 11 11 11,1,3821,
19.508173,9,0 2 11 6 7 4 0 2 0,1,9813,
6.768647,10,8 8 7 4 3 11 6 5 3 10,1,3379,
1.932813,10,3 7 0 0 9 1 1 1 6 11,1,1343,
4.669839,10,4 9 0 4 6 3 5 1 1 4,1,2007,
0.242418,10,3 1 5 6 8 3 4 3 4 7,1,147,
1.621535,10,9 1 6 5 4 9 4 1 5 8,1,1233,
1.925577,10,3 4 2 0 4 2 4 9 11 9,1,1122,
80.975359,10,10 3 11 0 8 1 10 5 5 5,0,30001,
54.242196,10,5 9 8 6 4 11 9 11 10 2,1,22881,
75.037526,10,6 2 6 9 7 6 3 6 11 11,1,17200,
0.282487,10,11 4 6 5 10 3 8 7 3 6,1,273,
31.105555,10,7 6 6 2 6 9 8 9 6 7,1,8165,
52.508346,10,1 5 7 3 10 11 2 5 5 4,1,13693,
4.712656,10,1 0 3 3 0 9 9 5 10 9,1,1395,
33.279003,10,2 10 2 2 5 8 6 2 9 0,1,9167,
0.048792,10,11 2 10 9 2 1 0 3 7 0,1,56,
83.657089,10,4 8 11 2 11 0 2 11 0 8,1,27509,
120.269503,10,0 8 11 9 5 1 1 2 2 6,0,30001,
18.225402,10,10 9 5 8 6 4 4 2 2 11,1,5590,
5.72713,10,2 1 5 4 5 7 7 6 8 4,1,3086,
0.461883,10,1 3 11 9 0 7 11 6 11 4,1,211,
9.501382,11,2 11 6 2 6 5 6 6 3 0 7,1,2723,
2.204648,11,9 2 3 1 2 0 11 4 4 0 3,1,1522,
66.423808,11,7 10 8 11 10 10 1 3 7 10 0,1,13687,
0.16364,11,10 7 5 5 4 8 10 9 7 3 5,1,207,
0.369431,11,0 9 4 0 4 9 1 0 0 0 2,1,282,
0.08604,11,1 4 1 4 4 2 7 9 6 9 11,1,68,
57.360586,11,4 9 8 4 7 5 3 8 4 3 3,1,16739,
0.01738,11,4 2 6 4 11 10 11 4 4 5 10,1,25,
12.589941,11,7 8 3 1 4 2 10 6 5 4 5,1,3113,
39.937127,11,9 4 7 4 11 0 9 5 5 0 5,1,15875,
5.830797,11,3 5 6 11 9 0 2 11 4 2 11,1,3017,
20.384016,11,10 8 3 11 4 1 5 8 4 2 1,1,8394,
20.936921,11,6 10 3 7 6 4 0 10 3 3 10,1,9277,
0.022803,11,8 6 7 0 0 4 7 0 3 8 4,1,23,
47.143575,11,0 4 5 10 1 9 0 1 5 1 11,1,15220,
9.056035,11,8 4 1 8 6 2 10 8 5 10 2,1,3552,
86.39249,11,9 0 2 5 4 1 9 5 7 9 2,0,30001,
16.895462,11,3 3 4 0 3 5 7 3 10 9 5,1,4396,
0.51407,11,8 5 3 6 11 6 7 7 5 8 3,1,367,
0.078934,11,7 7 6 6 11 6 4 3 5 2 7,1,54,
10.558934,12,7 0 9 9 1 10 3 11 8 1 0 0,1,4164,
8.951142,12,8 5 6 3 3 11 7 4 6 4 6 11,1,3979,
15.276588,12,6 3 5 6 3 10 11 11 0 5 2 5,1,5502,
2.086238,12,0 0 5 2 9 7 8 9 2 2 4 1,1,951,
18.492553,12,11 2 2 6 5 0 11 10 10 6 10 8,1,6366,
132.737922,12,5 3 2 11 0 3 10 2 0 9 1 3,0,30001,
0.879975,12,7 9 2 6 8 9 5 4 5 7 0 10,1,609,
2.720929,12,6 4 11 10 7 10 8 8 8 4 0 2,1,996,
0.970245,12,11 9 4 4 4 4 4 4 7 9 4 2,1,552,
3.561582,12,1 3 0 9 2 6 8 10 2 1 6 3,1,1652,
65.706804,12,3 11 2 10 9 6 2 10 10 3 7 10,1,19220,
1.455318,12,1 3 4 6 11 6 7 9 2 11 4 7,1,527,
96.117132,12,9 1 11 3 3 8 1 0 8 10 6 3,0,30001,
88.667831,12,8 1 10 1 9 0 0 0 0 11 1 9,1,20262,
20.756775,12,9 8 5 0 7 4 9 2 7 2 7 8,1,7483,
17.873896,12,7 6 5 7 5 7 9 9 5 3 1 9,1,7642,
252.978414,12,1 3 7 5 9 2 0 11 11 8 10 0,0,30001,
34.205104,12,1 1 11 8 5 5 0 1 3 5 3 0,1,10177,
1.271322,12,3 2 2 2 10 5 4 5 2 10 5 2,1,626,
0.494786,12,4 4 11 11 9 8 3 7 8 0 7 10,1,232,
129.515606,13,6 2 9 8 8 9 0 9 11 9 5 1 9,1,16266,
75.086425,13,10 6 9 9 4 7 0 2 6 7 4 7 10,1,22517,
0.102971,13,2 7 7 3 3 1 2 1 8 11 4 7 6,1,90,
0.139609,13,3 6 3 8 7 3 10 0 7 2 1 6 10,1,149,
45.291381,13,0 7 2 9 9 10 5 8 8 4 2 0 3,1,9776,
7.874308,13,11 8 6 1 10 1 5 3 8 10 11 10 10,1,2899,
58.933278,13,10 10 1 11 1 5 8 6 7 10 11 10 5,1,20077,
77.242602,13,0 1 8 6 5 9 10 3 5 7 2 1 5,1,25857,
36.293718,13,5 4 9 7 0 10 2 6 9 8 6 6 1,1,15650,
9.682263,13,1 1 10 5 5 2 4 2 6 9 8 7 0,1,2465,
5.564006,13,6 4 3 10 2 2 2 5 10 0 0 2 6,1,2117,
18.889136,13,5 4 1 3 8 4 6 2 10 10 1 8 10,1,9426,
72.417374,13,8 5 1 11 2 2 7 8 6 4 4 8 0,0,30001,
110.91837,13,5 0 3 10 2 7 9 0 1 6 2 6 2,1,23998,
0.050772,13,10 7 3 0 11 3 8 4 3 8 11 3 8,1,47,
0.383663,13,9 7 10 2 1 5 0 5 2 9 4 1 11,1,361,
86.049678,13,5 7 10 3 5 9 8 0 10 2 0 7 0,1,25890,
85.440998,13,10 7 5 3 2 3 4 3 1 4 9 4 7,1,23038,
3.080375,13,11 4 7 4 3 0 3 5 5 6 9 7 11,1,1308,
122.516861,13,10 0 11 9 4 5 9 0 8 0 10 10 6,0,30001,
0.545316,14,0 3 11 0 8 3 10 8 5 3 0 0 8 11,1,172,
97.472627,14,0 8 11 4 7 4 6 11 0 10 3 10 10 2,0,30001,
63.219015,14,5 6 6 4 0 10 1 3 11 0 1 3 2 3,1,15332,
30.220432,14,7 9 11 8 7 7 9 0 10 0 1 2 10 3,1,9665,
4.428294,14,3 11 7 4 11 1 10 11 6 1 10 5 9 0,1,3437,
110.756843,14,9 9 5 7 3 1 11 8 1 4 3 1 10 6,0,30001,
29.509196,14,10 7 2 3 6 10 6 2 9 10 6 2 2 9,1,7210,
148.795624,14,11 0 4 3 2 10 10 6 4 4 0 4 11 8,0,30001,
55.511717,14,1 5 7 10 6 6 2 0 5 8 5 0 1 9,1,16764,
55.07814,14,3 11 7 10 3 10 0 5 0 3 4 0 2 9,1,13345,
142.203613,14,11 4 4 3 0 4 2 7 5 2 0 1 5 4,1,25652,
49.268307,14,11 10 9 10 10 9 1 1 4 0 11 2 0 8,1,12092,
13.226297,14,8 6 1 11 11 1 3 2 6 4 9 5 6 10,1,5339,
13.372008,14,5 1 3 3 1 10 9 7 11 7 5 7 6 8,1,5581,
85.795278,14,2 5 3 8 1 8 1 2 4 9 9 4 0 5,0,30001,
79.407868,14,0 10 10 3 4 3 11 0 5 5 0 11 6 8,0,30001,
20.183034,14,4 6 7 0 8 4 5 9 11 10 8 10 1 6,1,4762,
65.144956,14,8 5 8 8 5 1 1 8 9 9 5 0 8 6,1,14187,
120.510796,14,3 6 2 6 9 9 11 2 11 7 5 9 5 7,0,30001,
26.712177,14,9 11 1 10 11 6 4 2 2 7 3 8 11 11,1,11304,
80.62094,15,2 3 10 10 6 7 0 1 1 1 0 2 7 7 2,0,30001,
2.429585,15,1 9 10 5 8 3 4 0 1 2 9 2 2 6 3,1,845,
96.380051,15,11 11 10 8 0 3 1 0 2 0 2 3 6 3 1,0,30001,
48.851866,15,11 11 3 2 11 11 4 7 7 2 0 0 3 8 11,1,14435,
67.352602,15,9 6 8 6 10 8 4 6 9 5 8 9 11 0 8,0,30001,
88.347013,15,3 0 8 4 7 5 0 7 7 10 5 5 8 10 1,0,30001,
6.316563,15,11 10 2 2 9 7 0 3 1 2 9 2 9 2 2,1,2640,
138.318919,15,1 3 1 6 8 7 9 0 11 2 2 7 7 9 8,1,29850,
35.065062,15,10 7 5 2 0 2 0 7 6 4 11 8 9 7 3,1,10375,
67.796207,15,9 6 7 4 8 1 4 5 1 3 1 1 6 8 7,1,19376,
0.795577,15,6 4 6 2 6 4 5 6 11 0 4 7 10 0 10,1,518,
31.054257,15,0 9 6 8 3 10 0 4 0 5 6 11 2 11 0,1,11283,
55.080901,15,8 0 10 11 4 8 5 1 4 4 6 1 6 9 7,1,9575,
8.655536,15,11 3 10 0 3 3 5 5 8 5 1 5 8 1 4,1,3387,
224.562769,15,6 3 5 4 1 8 5 2 4 0 2 11 6 9 8,0,30001,
31.20272,15,1 3 4 4 11 7 11 1 3 0 8 1 1 10 1,1,12398,
1.417543,15,2 0 5 8 3 8 11 8 10 3 1 2 11 7 8,1,624,
99.534075,15,10 1 11 3 8 6 11 9 0 3 10 10 9 4 0,0,30001,
0.17953,15,3 3 2 0 1 1 2 6 7 6 7 7 7 0 7,1,144,
103.865084,15,4 2 3 3 0 11 7 2 7 4 11 4 2 5 2,0,30001,
45.206736,16,2 0 3 3 11 4 0 9 2 4 11 1 11 3 11 10,1,22877,
60.40601,16,7 3 7 9 5 0 9 4 7 10 5 0 11 10 1 2,1,21895,
1.696809,16,5 3 10 5 7 2 10 7 3 3 7 4 9 8 3 4,1,1258,
162.539035,16,3 2 10 7 6 10 11 8 5 0 0 4 9 8 1 11,0,30001,
62.389996,16,3 1 9 6 4 3 11 2 7 0 0 2 4 5 1 9,0,30001,
5.525011,16,11 10 7 9 11 6 4 1 8 4 5 5 4 9 7 4,1,2877,
54.277419,16,1 5 8 5 3 4 4 11 4 3 3 7 3 6 6 10,1,20500,
3.893818,16,11 4 7 11 8 7 2 1 4 5 2 9 1 11 0 5,1,1936,
29.630858,16,7 11 1 3 4 2 3 5 0 10 7 2 10 10 7 2,1,9271,
94.472694,16,5 8 5 9 10 10 0 10 6 10 10 2 9 6 10 11,0,30001,
13.989252,16,11 11 8 9 8 9 4 4 6 3 5 7 2 5 10 8,1,5157,
21.200264,16,9 6 4 3 10 8 9 0 8 3 5 9 6 6 2 5,1,5944,
95.507999,16,9 5 5 1 9 1 10 9 2 11 8 11 6 5 9 11,0,30001,
21.294452,16,0 10 5 6 7 2 5 2 3 10 0 10 2 9 5 5,1,8954,
2.213256,16,1 10 9 9 2 1 2 6 10 6 7 11 3 1 2 7,1,937,
122.60959,16,1 8 6 7 2 0 3 4 9 2 10 10 10 8 9 4,0,30001,
